cluster,cluster_name,method_a,method_b,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_score_drop_a,mean_score_drop_b,n_samples,n_datasets
0,High-frequency / high-curvature,feature_ablation,mrsqm,0.05,0.03125,0.0,0.03125,0.17843565301541991,0.021384107647968168,160,8
0,High-frequency / high-curvature,feature_ablation,mrsqm,0.1,0.11025641025641027,0.0,0.11856617647058823,0.21420493475789662,0.05818628418824755,160,8
0,High-frequency / high-curvature,feature_ablation,mrsqm,0.2,0.1781135531135531,0.0,0.20232843137254902,0.22128394318824446,0.1150556912340542,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_centroid,0.05,0.1490172713442714,0.0,0.1840810429106662,0.17843565301541991,0.1999309501806022,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_centroid,0.1,0.20173913033170554,0.0,0.24261592633628792,0.21420493475789662,0.1995890329661426,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_centroid,0.2,0.2800368832114667,0.0,0.3274737722714657,0.22128394318824446,0.20382415915892144,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_train,0.05,0.11220281781145705,0.0,0.14234897113921086,0.17843565301541991,0.19051980770981525,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_train,0.1,0.18856580677005103,0.0,0.22582029221505953,0.21420493475789662,0.28968756978096166,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_train,0.2,0.24036573809531608,0.0,0.29357847474035276,0.22128394318824446,0.36455251607604156,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_zero,0.05,0.081229163106222,0.0,0.09684684170471841,0.17843565301541991,0.14217335884247753,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_zero,0.1,0.11504784950389227,0.0,0.13941409817351597,0.21420493475789662,0.22691469417881333,160,8
0,High-frequency / high-curvature,feature_ablation,tshap_zero,0.2,0.1846538929867964,0.0,0.23383158882845376,0.22128394318824446,0.22950339895226274,160,8
0,High-frequency / high-curvature,hydra,feature_ablation,0.05,0.19925807963834985,0.0,0.24397610057370334,0.1292563885360873,0.17843565301541991,160,8
0,High-frequency / high-curvature,hydra,feature_ablation,0.1,0.19125873119712736,0.0,0.23337094301190797,0.06673893222066438,0.21420493475789662,160,8
0,High-frequency / high-curvature,hydra,feature_ablation,0.2,0.28709210518328365,0.0404062870699881,0.341698343349897,0.13950772400276418,0.22128394318824446,160,8
0,High-frequency / high-curvature,hydra,mrsqm,0.05,0.017914324675887723,0.0,0.025620653319283454,0.1292563885360873,0.021384107647968168,160,8
0,High-frequency / high-curvature,hydra,mrsqm,0.1,0.14090851528508858,0.0,0.16665300161160354,0.06673893222066438,0.05818628418824755,160,8
0,High-frequency / high-curvature,hydra,mrsqm,0.2,0.2406510201486916,0.0,0.26819051895872503,0.13950772400276418,0.1150556912340542,160,8
0,High-frequency / high-curvature,hydra,shapley_sampling,0.05,0.142394010013477,0.0,0.17667054501814777,0.1292563885360873,0.10101565745059422,160,8
0,High-frequency / high-curvature,hydra,shapley_sampling,0.1,0.18454706611540633,0.0,0.2275574077804638,0.06673893222066438,0.19266201489072882,160,8
