true_label,pred_label,fraction,method_a,method_b,iou,overlap_fraction,normalised_centre_distance,score_drop_a,score_drop_b,flipped_a,flipped_b,explain_time_a_s,explain_time_b_s,dataset,sample_idx
3,3,0.05,hydra,shapley_sampling,0.0,0.0,0.216796875,0.4220542153661392,0.5308360683923555,0,0,0.7937207450013375,1.091430307002156,MixedShapesRegularTrain,1861
3,3,0.1,hydra,shapley_sampling,0.0,0.0,0.2421875,0.4035834647626112,0.7066033161971225,0,0,0.7937207450013375,1.091430307002156,MixedShapesRegularTrain,1861
3,3,0.2,hydra,shapley_sampling,0.0,0.0,0.2294921875,0.6052435343156896,1.1519891900917774,0,0,0.7937207450013375,1.091430307002156,MixedShapesRegularTrain,1861
3,3,0.05,hydra,feature_ablation,0.0,0.0,0.43359375,0.4220542153661392,0.5820907292719656,0,0,0.7937207450013375,0.044970654002099764,MixedShapesRegularTrain,1861
3,3,0.1,hydra,feature_ablation,0.0,0.0,0.2578125,0.4035834647626112,0.8429630827587553,0,0,0.7937207450013375,0.044970654002099764,MixedShapesRegularTrain,1861
3,3,0.2,hydra,feature_ablation,0.0,0.0,0.37890625,0.6052435343156896,0.8127305502492256,0,0,0.7937207450013375,0.044970654002099764,MixedShapesRegularTrain,1861
3,3,0.05,hydra,tshap_centroid,0.0,0.0,0.2548828125,0.4220542153661392,0.7892802221030885,0,0,0.7937207450013375,0.2355377190033323,MixedShapesRegularTrain,1861
3,3,0.1,hydra,tshap_centroid,0.0,0.0,0.25,0.4035834647626112,0.8510356006404846,0,0,0.7937207450013375,0.2355377190033323,MixedShapesRegularTrain,1861
3,3,0.2,hydra,tshap_centroid,0.0,0.0,0.2412109375,0.6052435343156896,1.1478322091550681,0,0,0.7937207450013375,0.2355377190033323,MixedShapesRegularTrain,1861
3,3,0.05,hydra,tshap_zero,0.0,0.0,0.2421875,0.4220542153661392,0.8218256140510434,0,0,0.7937207450013375,0.24380352700245567,MixedShapesRegularTrain,1861
3,3,0.1,hydra,tshap_zero,0.0,0.0,0.224609375,0.4035834647626112,0.871316890456186,0,0,0.7937207450013375,0.24380352700245567,MixedShapesRegularTrain,1861
3,3,0.2,hydra,tshap_zero,0.0,0.0,0.2275390625,0.6052435343156896,1.1898251974884084,0,0,0.7937207450013375,0.24380352700245567,MixedShapesRegularTrain,1861
3,3,0.05,hydra,tshap_train,0.0,0.0,0.2626953125,0.4220542153661392,0.7765986257271459,0,0,0.7937207450013375,4.441861044004327,MixedShapesRegularTrain,1861
3,3,0.1,hydra,tshap_train,0.0,0.0,0.2548828125,0.4035834647626112,0.8184916745081925,0,0,0.7937207450013375,4.441861044004327,MixedShapesRegularTrain,1861
3,3,0.2,hydra,tshap_train,0.0,0.0,0.2578125,0.6052435343156896,1.0629593774085844,0,0,0.7937207450013375,4.441861044004327,MixedShapesRegularTrain,1861
3,3,0.05,hydra,mrsqm,0.0,0.0,0.267578125,0.4220542153661392,0.5662001238159101,0,0,0.7937207450013375,3.106900112470612e-05,MixedShapesRegularTrain,1861
3,3,0.1,hydra,mrsqm,0.0,0.0,0.244140625,0.4035834647626112,0.6025512080631376,0,0,0.7937207450013375,3.106900112470612e-05,MixedShapesRegularTrain,1861
3,3,0.2,hydra,mrsqm,0.07611548556430446,0.14146341463414633,0.171875,0.6052435343156896,0.594059983378474,0,0,0.7937207450013375,3.106900112470612e-05,MixedShapesRegularTrain,1861
