k,silhouette,davies_bouldin,calinski_harabasz,min_cluster_size,max_cluster_size,n_singletons,n_clusters_lt_5
3,0.19163687524524478,1.5069168670781516,41.38254606095376,8,78,0,0
4,0.20320252503682956,1.4944034968392832,37.76820180372156,8,42,0,0
5,0.20788399567515026,1.2256136851474597,36.621857835577444,1,42,1,1
6,0.21711428279818906,1.0592685829239403,36.52582574649239,1,42,1,2
7,0.2486305765382259,1.0144091865910296,37.21013378041187,1,42,1,2
8,0.24100379686845583,1.0920240477679983,38.03355605408202,1,35,1,2
9,0.2479638381921998,1.002303520024401,37.83289954462496,1,35,1,4
10,0.26099264952652856,1.0010151666524396,38.18731156073428,1,35,1,4
11,0.24937965793738248,0.9847110453559561,38.04739766364321,1,29,1,4
12,0.2731293714146433,0.9658442568031224,38.13951692111008,1,24,1,4
13,0.27870528533326855,0.9697100989880514,38.22724639316687,1,24,1,4
14,0.28641633805996225,1.0004568169047103,38.5214663316033,1,24,1,4
15,0.2990858388345489,1.0452236563473345,38.81455988394398,1,22,1,4
16,0.3022467056361252,1.070876676529611,38.44773613829611,1,22,1,4
17,0.2985481588141324,1.0854055508770397,38.02649999203913,1,22,1,5
18,0.3084711048772758,1.0504297976614059,37.55980010608599,1,22,1,6
19,0.3136450134648314,1.0572611265659335,37.167079940828366,1,22,1,7
