fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.05,bottom,global_mean,50,-0.0285931803646345,-0.00790721562172789,0.02,0.7307317073170732,FacesUCR,LR
0.05,random,global_mean,50,0.27793035138768385,0.041482331579178605,0.04,0.7307317073170732,FacesUCR,LR
0.05,top,global_mean,50,1.2912077915185107,0.18364951709658894,0.12,0.7307317073170732,FacesUCR,LR
0.1,bottom,global_mean,50,0.08651092146940126,0.01183453111066641,0.04,0.7307317073170732,FacesUCR,LR
0.1,random,global_mean,50,0.4566941536806426,0.07458289357489703,0.068,0.7307317073170732,FacesUCR,LR
0.1,top,global_mean,50,1.569083332275145,0.25821665738331206,0.28,0.7307317073170732,FacesUCR,LR
0.2,bottom,global_mean,50,0.3746604531714675,0.054803596609483585,0.02,0.7307317073170732,FacesUCR,LR
0.2,random,global_mean,50,0.9189799162171048,0.14767590915273607,0.132,0.7307317073170732,FacesUCR,LR
0.2,top,global_mean,50,1.694065665181062,0.24586326119367777,0.22,0.7307317073170732,FacesUCR,LR
