fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.05,bottom,global_mean,50,-0.06759944383643632,-0.004173281472082812,0.0,0.9008193186718413,MelbournePedestrian,LR
0.05,random,global_mean,50,-0.8223662625449647,-0.03432098247251089,0.14400000000000002,0.9008193186718413,MelbournePedestrian,LR
0.05,top,global_mean,50,3.3234562238396084,0.20251120294057176,0.12,0.9008193186718413,MelbournePedestrian,LR
0.1,bottom,global_mean,50,0.43558596251274084,0.0265290925232545,0.0,0.9008193186718413,MelbournePedestrian,LR
0.1,random,global_mean,50,-1.5191365823042242,-0.001632563025366655,0.248,0.9008193186718413,MelbournePedestrian,LR
0.1,top,global_mean,50,5.982830717944892,0.365694549515012,0.86,0.9008193186718413,MelbournePedestrian,LR
0.2,bottom,global_mean,50,0.5602852821754551,0.02954661295879046,0.0,0.9008193186718413,MelbournePedestrian,LR
0.2,random,global_mean,50,0.805903185318523,0.1360667737924204,0.7,0.9008193186718413,MelbournePedestrian,LR
0.2,top,global_mean,50,11.126820609795939,0.6739721809842543,0.92,0.9008193186718413,MelbournePedestrian,LR
