fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.05,bottom,global_mean,50,0.3189106216711317,0.024278007353069106,0.36,0.6875,Crop,LR
0.05,random,global_mean,50,0.6143770875182765,0.04798979858575606,0.24400000000000002,0.6875,Crop,LR
0.05,top,global_mean,50,4.09784049209294,0.31679678097648,1.0,0.6875,Crop,LR
0.1,bottom,global_mean,50,0.49674279173554664,0.03854584240267856,0.42,0.6875,Crop,LR
0.1,random,global_mean,50,1.485388491872506,0.114809616805177,0.408,0.6875,Crop,LR
0.1,top,global_mean,50,4.123828730791681,0.3176910361865835,1.0,0.6875,Crop,LR
0.2,bottom,global_mean,50,1.3595997919586063,0.10479322967242431,0.72,0.6875,Crop,LR
0.2,random,global_mean,50,3.250330055620603,0.2502002435305499,0.616,0.6875,Crop,LR
0.2,top,global_mean,50,5.931176864075647,0.4586363759032796,0.96,0.6875,Crop,LR
